"Product Code","Amazon ASIN","Name","Sku Id","Selling Price","MRP","Cost Price","Quantity","Packaging Length (in cm)","Packaging Breadth (in cm)","Packaging Height (in cm)","Packaging Weight (in kg)","GST %","Image 1","Image 2","Image 3","Image 4","Image 5","Image 6","Image 7","Image 8","Image 9","Image 10","Video 1","Video 2","Product Type","Size Type","Size","Colour","Description","Return/Exchange Condition","Visibility","Size Chart","Pickup Address Code","HSN Code","Customisation Id","Associated Pixel","attr_Print /Pattern Type","attr_Style","attr_Colour Shade Name","attr_Colour Family","attr_Package Contents","attr_Fabric Type","attr_Pattern","attr_Season","attr_Country_of_Origin","attr_Ideal for","attr_Fabric","attr_Colour Code","attr_Size","attr_Colour","attr_Brand","attr_Material","attr_Ideal For","attr_Key Features","attr_Durability","attr_Country of Origin","attr_Set includes","attr_Packaging","attr_Thread Count (TC)","attr_Usage Instructions","attr_Color","attr_Pattern Type","attr_Package contents","attr_Standard Size","attr_Fabric Feel","attr_Features","attr_Additional Feature","attr_Basic Colour","attr_Product Type","attr_Features 1","attr_Features 2","attr_Theme","attr_Work Type","attr_Quantity","attr_Secondary Color","attr_Finish","attr_Design","attr_Wash Care","attr_Bedsheet Dimensions"
"AH-OTTO-BLUE-HS","","Blue Boho Handwoven Ottoman Stool with Pom-Pom Detailing","103OTTO",1449,2899,720,17,43,43,43,"17",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/44unON7l_U2PBTBUHM3_2026-06-18_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/44unON7l_H89SQFOHHN_2026-06-18_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/44unON7l_OJK3METFZM_2026-06-18_3.png","","","","","","","","","","home__home_improvement__utility","size","16x16 Inches","Blue","Bring artisanal charm into your home with the Boho Handwoven Ottoman Stool. Thoughtfully crafted with intricate woven detailing, playful pom-pom accents, and elegant fringe trim, this ottoman effortlessly blends functionality with style. The soothing blue and ivory palette adds a fresh, calming touch to living rooms, bedrooms, reading corners, or cozy lounge spaces.
Supported by sturdy wooden legs and designed for everyday versatility, it serves as a comfortable footrest, extra seating option, decorative accent piece, or stylish companion to your favourite armchair. Whether your decor leans toward bohemian, coastal, Scandinavian, or modern farmhouse aesthetics, this handcrafted ottoman becomes an instant focal point that elevates any space.

Key Uses
- Comfortable footrest after a long day
- Extra seating for guests
- Accent furniture for living rooms and bedrooms
- Reading nook companion
- Decorative styling piece for cozy interiors
- Ideal for bohemian, coastal, and modern homes

What is this ottoman used for?
This ottoman can be used as an extra seat, footrest, decorative accent piece, or styling element in living rooms and bedrooms.

What style of home decor does it suit?
Its bohemian-inspired woven texture and blue chevron pattern complement boho, coastal, Scandinavian, and farmhouse interiors.

What colour is the ottoman?
The ottoman features an elegant ivory white base with sky blue woven geometric detailing.

What material look does it have?
It showcases a handcrafted woven cotton-texture appearance with decorative pom-poms and fringe accents for a premium artisan look","2",true,"","Panipat_132103_0180d","","","","Chevron Geometric Pattern with Textured Dot Weave","Bohemian | Coastal | Modern Farmhouse","Blue on Ivory Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDB-BTRFLY-BLUE-SK","","Butterfly Bloom Blue Pure Cotton Bedsheet - with 2 Pillow Covers","142BS",1499,3599,750,4,38,30,4,"1.1",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/QrLIV0me_A2R66PK0VZ_2026-05-21_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/QrLIV0me_2AH25NJKPS_2026-05-21_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/QrLIV0me_D5VT3GLFWS_2026-01-03_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/QrLIV0me_4C6G8HPA3F_2026-01-03_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/QrLIV0me_TCSTV6GDGF_2026-01-03_1.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/QrLIV0me_Y1GUX6JYF8_2026-05-21_3.png","","","","","","","","size","110*110 inches","","Makeover your bedroom with this pure cotton floral bedsheet, designed with soothing blue botanical butterfly & flower prints on a soft white base.
Made from 100% breathable cotton, it offers all-day comfort while adding a fresh, modern elegance to your space. 
Perfect for everyday use and contemporary Indian homes.

Features delicate flowers, leafy vines, and butterfly-inspired motifs arranged in a graceful, modern layout.

Set Includes:
1 Bedsheet + 2 Matching Pillow Covers

Fabric:
100% Pure Cotton | Super Soft Touch | Breathable | Easy to Maintain 

Ideal For:
Daily use, summer comfort, modern & minimalist bedrooms","6",true,"","Panipat_132103_0180d","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TERRACOTTA-FRLK-KDB-5PC","","Terracotta Bloom Bedsheet set- with filled cushions","122BS",1790,3199,700,1,61,37,7,"3.2",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Terracotta_Bloom_Bedsheet_set__with_filled_cushions_9I9H4YXHU8_2026-06-14_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Zi7jKjN__BNYEJIO2KV_2026-06-14_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Terracotta_Bloom_Bedsheet_set__with_filled_cushions_M59V8TQA0V_2026-06-14_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Terracotta_Bloom_Bedsheet_set__with_filled_cushions_VA3FMC50SP_2026-06-14_3.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Terracotta_Bloom_Bedsheet_set__with_filled_cushions_FI94OF6HSV_2026-06-14_4.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Terracotta_Bloom_Bedsheet_set__with_filled_cushions_4ZNGM3ND2V_2026-06-14_5.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Zi7jKjN__ORO20GL2I8_2026-06-14_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Terracotta_Bloom_Bedsheet_set__with_filled_cushions_GGKUH9AEBZ_2026-06-14_7.png","","","","","home__home_furnishing__bed_linen","size","108 x 108 inches","Rusty Peach","Wake up to the softness of a peaceful morning wrapped in delicate floral charm. The Terracotta Bloom Bedsheet Set brings together soothing tones, graceful floral motifs, and the breathable comfort of pure cotton to create a bedroom that feels warm, welcoming, and effortlessly elegant.
Inspired by blooming wildflowers scattered across a sunlit meadow, this bedsheet features intricate floral borders paired with subtle floral sprigs that add a touch of timeless beauty without overwhelming the space. The soft peach accents lend a calm and cozy feel, making it perfect for contemporary, minimal, and romantic bedroom interiors.
Whether you're refreshing your bedroom décor or creating a cozy retreat after a long day, this bedding set adds comfort, beauty, and serenity to your everyday living.

Key Features
✔ King Size Bedsheet for Comfortable Coverage
✔ Elegant Floral Border Design
✔ Lightweight & Suitable for All Seasons
✔ Durable Colourfast Printing
✔ Easy Maintenance & Machine Washable
✔ Perfect for Modern, Minimal & Romantic Interiors","2",true,"","Panipat_132103_0180d","","","","Floral Border Print with Scattered Floral Buti Motifs","Modern Floral | Cottagecore | Soft Romantic",,"Rusty Peach, Ivory Cream & Soft Beige","One King Size Bedsheet, 2 large pillow covers, and 2 filled cushions","220gsm imported cotton blend",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DREAMYPINK-FRLK-KDB-5PC","","Dreamy Pink Floral Frill King size Bedsheet Set- with filled cushions","123BS",1790,3399,700,5,61,40,7,"2.00",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/0vZdmugz_I0VADCQIXP_2026-05-08_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/0vZdmugz_XQ5IJ9Z95N_2026-05-08_3.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/0vZdmugz_OL450NPMST_2026-05-08_2.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/0vZdmugz_IHOFSVA0S2_2026-05-08_4.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/0vZdmugz_KOFBN6L901_2026-05-08_5.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/0vZdmugz_QR6LIRVK9F_2026-05-27_1.jpeg","","","","","","","","size","108 x 108 inches","Soft Pink","Turn your bedroom into the softest corner of your home with this blush pink floral bedding set designed for comfort lovers and aesthetic homes. The delicate floral print paired with elegant frill-detail cushions gives your space a cozy, calm, and beautifully styled look without trying too hard. Its soothing pastel tones instantly make the room feel brighter, warmer, and more inviting.
Whether you love Pinterest-inspired interiors, soft feminine decor, or simply enjoy coming back to a neat and peaceful bed after a long day, this bedding set blends beautifully into modern Indian homes. The subtle floral pattern keeps it timeless, while the ruffle cushion detailing adds that premium boutique-style charm.

This 5-piece bedding set includes 1 king size bedsheet, 2 pillow covers, and 2 matching frill cushions with fillers to give your bed a complete, thoughtfully styled look. 
Perfect for master bedrooms, guest rooms, gifting, home makeovers, and festive room refreshes.

Why You’ll Love It:
- Soft pink floral design that feels fresh and elegant
- Frill cushion detailing for aesthetic touch
- Creates a cozy, Instagram-worthy bedroom setup
- Easy to style with neutral and pastel interiors
- Ideal for modern, minimal, and feminine bedroom decor

Perfect for everyday use or special home styling moments


Note : We strive to present our products as accurately as possible; however, slight variations in colour may occur due to photography and individual screen settings.","6",true,"","Panipat_132103_0180d","","","",,"Scandinavian Inspired | Minimal Aesthetic",,,"Includes: 1 King Size Bedsheet, 2 Pillow Covers, 2 Cushions with Frill Design","220 gsm imported cotton blend","Minimal Floral Vine Print with Micro Check Frill Accents","Suitable for All Seasons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BLUSHBLOOM-FRLK-KDB-5PC","","Blush Bloom Floral King size Bedsheet Set- with 2 cushions","125BS",1790,3999,700,15,61,37,7,"3.2",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GIFZEwWE_31GE9GXU48_2026-07-18_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GIFZEwWE_LCK79DCBX4_2026-07-14_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GIFZEwWE_15H7ZR1FPC_2026-07-14_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GIFZEwWE_15P25LP410_2026-07-14_3.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GIFZEwWE_VT7EAG9PCE_2026-07-14_4.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GIFZEwWE_KW6Z5X6JJ1_2026-07-14_5.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GIFZEwWE_OPUDK1VR4U_2026-07-21_1.png","","","","","","home__home_furnishing__bed_linen","size","108 x 108 inches","Blush Pink","Wake up to a bedroom that feels effortlessly elegant.

Inspired by blooming English gardens, the Blush Bloom Frill Bedsheet Set brings together soft blush tones, delicate floral bouquets, and beautifully crafted frill detailing for a timeless, romantic aesthetic. Every detail has been thoughtfully designed to make your bed the center piece of your room.
The graceful floral stripes create a refined look while the matching frilled pillow covers and decorative filled cushions add depth, texture, and a boutique hotel feel. Whether you're styling your master bedroom or refreshing your home for the season, this bedding set instantly transforms your space into a warm, inviting retreat.
Made for everyday comfort and lasting beauty, it's perfect for those who appreciate elegant interiors with a touch of vintage charm.

Why You'll Love It:-
- Elegant Vintage Floral Design
- Soft Blush Pink Colour Palette
- Beautiful Frill Border Detailing
- Two Matching Large Pillow Covers with Frills
- Two Filled Decorative Cushions with Frills
- Breathable & Comfortable Fabric
- Ideal for Modern, Classic & Cottage Style Bedrooms


- Is this a complete bedding set?
Yes. The set includes 1 king size bedsheet, 2 large frill pillow covers, and 2 filled decorative cushions, making it a complete 5-piece bedding set.

- Does the set include cushion fillers?
Yes, both decorative cushions come pre-filled and are ready to use.

- What bedroom styles does this bedding suit?
Its elegant blush pink floral design pairs beautifully with modern minimalist, contemporary, cottagecore, vintage, and luxury-inspired interiors.

- Is the floral print on both the bedsheet and accessories?
Yes. The bedsheet features coordinated floral stripes and bouquet motifs, while the pillow covers and cushions include matching floral frill borders for a cohesive designer look.

- Is this suitable for gifting?
Absolutely. The elegant design and coordinated accessories make it an excellent choice for weddings, anniversaries, housewarmings, festive gifting, and special occasions.","2",true,"","Panipat_132103_0180d","","","","Vintage Floral","Romantic • Cottagecore • Vintage Luxury",,"Blush Pink, Soft White","1 King Size Bedsheet, 2 Large Pillow Covers with Frill Borders, 2 Filled Cushions with Frill Borders","220 gsm cotton blend",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AH-BLUEHEART-CS-QDB","","Midnight Hearts Reversible Comforter Set","102CS",2299,3999,1040,5,63,50,11,"4.5",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Midnight_Hearts_Reversible_Comforter_Set_GKUNDDM6M7_2026-05-28_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Midnight_Hearts_Reversible_Comforter_Set_LM5UMGJG6W_2026-05-28_3.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Midnight_Hearts_Reversible_Comforter_Set_AA6BI52BDY_2026-05-28_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Midnight_Hearts_Reversible_Comforter_Set_TE1FRL2M7A_2026-05-28_4.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Midnight_Hearts_Reversible_Comforter_Set_8UR0TI5QFL_2026-05-28_5.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Midnight_Hearts_Reversible_Comforter_Set_C13CF6159B_2026-05-28_6.png","","","","","","","","size","90 x 100 Inches","","Add a playful charm to your bedroom with the Aaram Homes Midnight Hearts Reversible Comforter Set.
Designed in a rich midnight navy base with vibrant multicolour heart motifs, this bedding set instantly brightens your space while maintaining a modern elegant aesthetic.
Crafted for everyday comfort and stylish interiors, the soft-touch fabric feels cozy and breathable, making it ideal for AC rooms and all-season use.

The reversible comforter offers two stylish looks in one, while the coordinated bedsheet and pillow covers create a complete designer bedroom setup.
Perfect for modern homes, gifting, newlywed bedrooms, guest rooms, and cozy aesthetic interiors.

Package Contents:
- 1 Reversible AC Comforter
- 1 Double Bedsheet
- 2 Pillow Covers","6",true,"","Panipat_132103_0180d","","","","Abstract Heart Print","Cozy Aesthetic Bedding",,"Midnight Navy Blue | Multicolour Heart Print (Pink, Coral, Teal & Blue)","1 Reversible AC Comforter, 1 Double Bedsheet, 2 Pillow Covers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COASTAL-BLUE-CS-QDB-4PC","","Coastal Blue Dreams Reversible Bedding Set- with Comforter","103CS",2499,2999,900,4,59,45,11,"3.8",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Coastal_Blue_Dreams_Reversible_Bedding_Set__with_Comforter_TYFCX68SZZ_2026-08-22_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Coastal_Blue_Dreams_Reversible_Bedding_Set__with_Comforter_8DL60GH0SB_2026-08-22_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Coastal_Blue_Dreams_Reversible_Bedding_Set__with_Comforter_K6OGZ7AYIZ_2026-08-22_3.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Coastal_Blue_Dreams_Reversible_Bedding_Set__with_Comforter_02IWN8RYPI_2026-08-22_4.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Coastal_Blue_Dreams_Reversible_Bedding_Set__with_Comforter_MJP6VAUYCV_2026-08-22_5.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Coastal_Blue_Dreams_Reversible_Bedding_Set__with_Comforter_74S0CCEBYI_2026-08-22_6.png","","","","","","","","size","90 x 100 Inches","Ocean Blue","A story of calm mornings, coastal breezes, and peaceful nights.

Imagine waking up to the softness of a quiet seaside morning — where gentle waves meet endless skies, sunlight filters through your windows, and every corner of your room feels peaceful.

Inspired by the calming beauty of the coast, the Coastal Blue Dreams Reversible Bedding Set brings together soothing shades of ocean blue, aqua, ivory, and sand beige in an artistic patchwork design. Each panel tells a story of the sea — delicate starfish, coral reefs, shells, flowing waves, and natural textures woven together to create a bedding experience that feels serene and timeless.
The plush quilted comforter wraps you in cloud-like softness, adding warmth and comfort while creating a luxurious layered look for your bedroom.
Flip it over to discover a classic beige gingham check design — a simple, elegant pattern that lets you style your space differently whenever you desire.

Paired with a matching bedsheet and coordinated pillow covers, this complete bedding set transforms your bedroom into a cosy retreat.
Because your home should not just look beautiful… it should feel like a peaceful escape.


Reasons You Will Love It:
- Two Looks in One Bedding Set
- Timeless Coastal Design
- Cloud-Like Fluffy Comfort
- Artistic Patchwork Design
- Bed-in-a-Bag: 4 piece Bedding Set
- Modern Minimalist Style","2",true,"","Panipat_132103_0180d","","","","Front Pattern: Patchwork Geometric Coastal Print; Reverse Pattern: Classic Beige & Ivory Gingham Checks","Coastal Bedroom Decor | Modern Minimalist Bedding",,"Ocean Blue, Ivory White, Sand Beige","1 Double, Bedsheet, 2 Pillow Covers and 1 Reversible Quilted Comforter","160 gsm cotton blend",,,"India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OLIVE-GGNM-CHECK-CS-4PC","","Olive Beige Gingham Comforter Set","104CS",2499,3299,900,9,60,45,11,"3.8",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Olive_Beige_Gingham_Comforter_Set_EYKMFP6N69_2026-08-25_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Olive_Beige_Gingham_Comforter_Set_55I8Q9QYIN_2026-08-25_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Olive_Beige_Gingham_Comforter_Set_GYFQIJ85PV_2026-08-25_3.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Olive_Beige_Gingham_Comforter_Set_LB23DEKYNY_2026-08-25_4.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Olive_Beige_Gingham_Comforter_Set_HIRQ5JV29U_2026-08-25_5.png","","","","","","","","","size","90 x 100 Inches","Olive","Bring a warm, timeless look to your bedroom with this olive beige gingham checkered comforter set. 
Featuring a neat small-check pattern in soft beige and white, this bedding set creates a cozy yet sophisticated aesthetic that works beautifully with modern, and contemporary interiors. The coordinated gingham pillow covers complete the look for an effortlessly styled bed.

The classic gingham-inspired check pattern gives the comforter a refined yet relaxed appearance, making it suitable for both everyday use and beautifully styled bedrooms. The coordinated pillow covers continue the same pattern, creating a cohesive and polished look across the bed. The versatile neutral palette makes this beige comforter set easy to pair with solid-coloured cushions, throws and decorative pillows.
With its balanced pattern, understated colours and effortlessly stylish appearance, this gingham comforter set is an easy way to refresh your bedroom and create a comfortable, inviting space.


Reasons You'll Love It:
- Classic gingham checks for a timeless bedroom look
- Elegant, versatile styling suited to modern and contemporary bedrooms
- Coordinated pillow covers create a polished, put-together bed
- Visually balanced small-check pattern adds character without overwhelming the room
- Perfect for creating a warm, cozy and inviting bedroom aesthetic","2",true,"","Panipat_132103_0180d","","","","Small Gingham Check","Modern • Scandinavian • Cozy Minimalist",,"Olive Beige & IVory","1 Double bedsheet, 2 pillow covers, 1 double bed comforter","160 gsm super soft cotton blend",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YELLOW-FLORAL-GGNM-CS-4PC","","Yellow Floral Gingham Reversible Comforter Set","105CS",2499,3299,900,10,60,45,11,"3.8",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Yellow_Floral_Gingham_Reversible_Comforter_Set_1A8DTHMTEB_2026-08-26_1.png","","","","","","","","","","","","","size","90 x 100 Inches","Yellow, White","Brighten your bedroom with this elegant yellow floral gingham reversible comforter set, featuring a cheerful yellow-and-white checkered pattern decorated with delicate white daisies and green foliage. The reverse side showcases a sophisticated beige and white herringbone pattern, giving you two versatile looks in one comforter. Designed for a modern, cozy bedroom, it pairs beautifully with neutral decor and natural wood furnishings.

Reasons You'll Love It:
- 2-in-1 reversible design – switch between a cheerful floral gingham look and an elegant beige herringbone pattern.
- Fresh floral appeal – delicate daisy motifs add a bright, inviting touch without overwhelming the room.
- Versatile yellow palette – soft yellow and white work beautifully with neutral, wooden and earthy interiors.
- Modern yet timeless – combines classic gingham checks with contemporary floral detailing.
- Mix-and-match friendly – the neutral reverse side pairs easily with solid-colour sheets and cushions.

What is this comforter set? 
It is a yellow floral gingham reversible comforter set featuring a yellow-and-white checked floral design on one side and a beige-and-white herringbone pattern on the reverse, offering two stylish bedroom looks in one set.","2",true,"","Panipat_132103_0180d","","","","Yellow & white gingham checks with floral daisy prints","Modern, Minimalist, Cottage-Inspired, Fresh & Cheerful",,"Yellow, White, Beige","1 double bedsheet, 2 pillow covers, 1 reversible double bed comforter","160 gsm super soft cotton blend",,,,"Modern bedrooms, guest rooms, master bedrooms and seasonal bedroom makeovers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BROWN-CIN-FRLK-KDB-5PC","","Brown Cinnamon Stripes Bedsheet set - with beautiful Frills","121BS",1790,2799,700,9,61,37,7,"3.2",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Brown_Cinnamon_IG22ALU7TE_2026-06-13_1.PNG","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Brown_Cinnamon_0BHHU6D13O_2026-06-13_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Brown_Cinnamon_BGCHTHQ3CG_2026-06-13_3.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Brown_Cinnamon_O7B1FYI0BA_2026-06-13_4.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Brown_Cinnamon_UTNLFAB7QW_2026-06-13_5.png","","","","","","","","home__home_furnishing__bed_linen","size","108 x 108 inches","Cinnamon Brown","Inspired by the soothing charm of earthy landscapes and cozy modern interiors, the Cinnamon Brown 5 piece Bedsheet Set brings together timeless stripes, subtle geometric detailing, and warm neutral hues to create a bedroom that feels calm, welcoming, and effortlessly elegant.
Crafted from soft and durable fabric, this king-size bedsheet is soft against the skin, breathable through every season, and designed for everyday comfort. 
The harmonious blend of beige, ivory, taupe, and soft brown tones creates a serene backdrop for restful mornings and peaceful nights.

Paired with beautifully coordinated pillow covers and 2 filled cushions featuring delicate star-inspired motifs, this bedding set transforms your bed into a stylish retreat while maintaining the simplicity and comfort that every home deserves.
Whether you're refreshing your master bedroom or creating a cozy guest room, Cinnamon brown adds warmth, sophistication, and a touch of understated luxury to your space.


Why You'll Love it:
✓ Soft, Breathable & Skin-Friendly
✓ King Size Bedsheet with 2 Matching Pillow Covers and 2 Filled cushions
✓ Elegant Stripe & Geometric Print Design
✓ All-Season Comfort
✓ Durable Colorfast Printing
✓ Smooth Finish for Everyday Use","2",true,"","Panipat_132103_0180d","","","","Contemporary Stripe & Geometric Fusion Pattern","Modern Rustic | Earth-Tone Luxury",,"Warm Earthy Neutrals","1 King Size Bedsheet, 2 Large Pillow Covers and 2 Filled square cushions","220 gsm Imported Cotton Blend",,,,"Master Bedroom, Guest Room, Modern Homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
